groq: 1 models x 1 tiers x 3 contracts, 10 cases x 3 repeats -> up to 3 cells
WARNING groq rate limited, waiting 18.0s (attempt 1/6)
WARNING groq rate limited, waiting 3.0s (attempt 1/6)
WARNING groq rate limited, waiting 13.0s (attempt 1/6)
WARNING groq rate limited, waiting 7.0s (attempt 1/6)
WARNING groq rate limited, waiting 2.0s (attempt 1/6)
WARNING groq rate limited, waiting 9.0s (attempt 1/6)
WARNING groq rate limited, waiting 6.0s (attempt 1/6)
WARNING groq rate limited, waiting 4.0s (attempt 1/6)
WARNING groq rate limited, waiting 3.0s (attempt 1/6)
WARNING groq rate limited, waiting 9.0s (attempt 1/6)
WARNING groq rate limited, waiting 3.0s (attempt 1/6)
WARNING groq rate limited, waiting 1.0s (attempt 1/6)
WARNING groq rate limited, waiting 8.0s (attempt 1/6)
WARNING groq rate limited, waiting 1.0s (attempt 1/6)
WARNING groq rate limited, waiting 4.0s (attempt 2/6)
WARNING groq rate limited, waiting 3.0s (attempt 1/6)
WARNING groq rate limited, waiting 2.0s (attempt 1/6)
WARNING groq rate limited, waiting 3.0s (attempt 1/6)
WARNING groq rate limited, waiting 2.0s (attempt 1/6)
WARNING groq rate limited, waiting 3.0s (attempt 1/6)
WARNING groq rate limited, waiting 8.0s (attempt 1/6)
  1/3 allam-2-7b / prompt_only / TicketSummary: first 87%, final 100%, accurate
60%
WARNING groq rate limited, waiting 11.0s (attempt 1/6)
WARNING groq rate limited, waiting 6.0s (attempt 1/6)
WARNING groq rate limited, waiting 11.0s (attempt 1/6)
WARNING groq rate limited, waiting 12.0s (attempt 1/6)
WARNING groq rate limited, waiting 5.0s (attempt 1/6)
WARNING groq rate limited, waiting 6.0s (attempt 1/6)
WARNING groq rate limited, waiting 10.0s (attempt 1/6)
WARNING groq rate limited, waiting 1.0s (attempt 1/6)
WARNING groq rate limited, waiting 7.0s (attempt 1/6)
WARNING groq rate limited, waiting 3.0s (attempt 2/6)
WARNING groq rate limited, waiting 6.0s (attempt 1/6)
WARNING groq rate limited, waiting 1.0s (attempt 1/6)
WARNING groq rate limited, waiting 4.0s (attempt 2/6)
WARNING groq rate limited, waiting 5.0s (attempt 1/6)
WARNING groq rate limited, waiting 1.0s (attempt 1/6)
WARNING groq rate limited, waiting 11.0s (attempt 1/6)
WARNING groq rate limited, waiting 6.0s (attempt 1/6)
WARNING groq rate limited, waiting 1.0s (attempt 1/6)
WARNING groq rate limited, waiting 10.0s (attempt 1/6)
WARNING groq rate limited, waiting 5.0s (attempt 1/6)
WARNING groq rate limited, waiting 7.0s (attempt 1/6)
WARNING groq rate limited, waiting 5.0s (attempt 1/6)
WARNING groq rate limited, waiting 1.0s (attempt 1/6)
WARNING groq rate limited, waiting 4.0s (attempt 2/6)
WARNING groq rate limited, waiting 2.0s (attempt 1/6)
WARNING groq rate limited, waiting 7.0s (attempt 1/6)
WARNING groq rate limited, waiting 4.0s (attempt 2/6)
WARNING groq rate limited, waiting 1.0s (attempt 1/6)
WARNING groq rate limited, waiting 6.0s (attempt 1/6)
WARNING groq rate limited, waiting 4.0s (attempt 2/6)
WARNING groq rate limited, waiting 5.0s (attempt 1/6)
WARNING groq rate limited, waiting 7.0s (attempt 1/6)
WARNING groq rate limited, waiting 5.0s (attempt 1/6)
WARNING groq rate limited, waiting 8.0s (attempt 1/6)
WARNING groq rate limited, waiting 6.0s (attempt 1/6)
WARNING groq rate limited, waiting 6.0s (attempt 1/6)
WARNING groq rate limited, waiting 2.0s (attempt 1/6)
WARNING groq rate limited, waiting 7.0s (attempt 1/6)
WARNING groq rate limited, waiting 3.0s (attempt 2/6)
WARNING groq rate limited, waiting 6.0s (attempt 1/6)
WARNING groq rate limited, waiting 1.0s (attempt 1/6)
WARNING groq rate limited, waiting 11.0s (attempt 1/6)
WARNING groq rate limited, waiting 4.0s (attempt 1/6)
WARNING groq rate limited, waiting 2.0s (attempt 1/6)
WARNING groq rate limited, waiting 8.0s (attempt 1/6)
WARNING groq rate limited, waiting 8.0s (attempt 1/6)
WARNING groq rate limited, waiting 5.0s (attempt 1/6)
WARNING groq rate limited, waiting 4.0s (attempt 1/6)
WARNING groq rate limited, waiting 3.0s (attempt 1/6)
WARNING groq rate limited, waiting 10.0s (attempt 1/6)
WARNING groq rate limited, waiting 3.0s (attempt 1/6)
