groq: 1 models x 1 tiers x 3 contracts, 10 cases x 3 repeats -> up to 3 cells
WARNING groq rate limited, waiting 1.0s (attempt 1/6)
WARNING groq rate limited, waiting 2.0s (attempt 1/6)
WARNING groq rate limited, waiting 2.0s (attempt 1/6)
WARNING groq rate limited, waiting 12.0s (attempt 2/6)
WARNING groq rate limited, waiting 7.0s (attempt 1/6)
WARNING groq rate limited, waiting 5.0s (attempt 1/6)
WARNING groq rate limited, waiting 1.0s (attempt 1/6)
WARNING groq rate limited, waiting 7.0s (attempt 1/6)
WARNING groq rate limited, waiting 6.0s (attempt 1/6)
WARNING groq rate limited, waiting 2.0s (attempt 1/6)
WARNING groq rate limited, waiting 2.0s (attempt 1/6)
WARNING groq rate limited, waiting 1.0s (attempt 2/6)
WARNING groq rate limited, waiting 8.0s (attempt 1/6)
WARNING groq rate limited, waiting 7.0s (attempt 1/6)
WARNING groq rate limited, waiting 1.0s (attempt 1/6)
WARNING groq rate limited, waiting 2.0s (attempt 2/6)
WARNING groq rate limited, waiting 2.0s (attempt 3/6)
WARNING groq rate limited, waiting 3.0s (attempt 1/6)
WARNING groq rate limited, waiting 4.0s (attempt 1/6)
WARNING groq rate limited, waiting 1.0s (attempt 1/6)
WARNING groq rate limited, waiting 5.0s (attempt 1/6)
WARNING groq rate limited, waiting 7.0s (attempt 1/6)
WARNING groq rate limited, waiting 1.0s (attempt 2/6)
WARNING groq rate limited, waiting 3.0s (attempt 1/6)
WARNING groq rate limited, waiting 3.0s (attempt 1/6)
WARNING groq rate limited, waiting 3.0s (attempt 1/6)
WARNING groq rate limited, waiting 2.0s (attempt 1/6)
  1/3 qwen/qwen3.6-27b / prompt_only / TicketSummary: first 100%, final 100%, 
accurate 87%
WARNING groq rate limited, waiting 9.0s (attempt 1/6)
WARNING groq rate limited, waiting 60.0s (attempt 1/6)
WARNING groq rate limited, waiting 60.0s (attempt 2/6)
WARNING groq rate limited, waiting 60.0s (attempt 3/6)
